,Id,Fecha,Parcela,ndvi_mean,ndvi_min,ndvi_max,ndmi_mean,ndmi_min,ndmi_max,Valor,Kc,ETc
0,1,2022-01-01,3,0.6589042824876012,0.4897739504843918,0.7357539082198689,0.1793346250377895,-0.0382209867963863,0.2880365296803653,3.877639,0.9277399248607414,3.5974405144970802
1,2,2022-01-06,3,0.6152038114347783,0.428001595532509,0.7001375515818432,0.1279173779524248,-0.0789812194494468,0.2381164918544967,2.869796,0.877484383149995,2.518201172826323
2,3,2022-01-16,3,0.597526526141378,0.4752755905511811,0.6689342403628118,0.1468559892865703,-0.0169989506820566,0.2277777777777777,2.9935906,0.8571555050625848,2.565972662693606
3,4,2022-01-31,3,0.6056996484084763,0.444564824846515,0.6871604232199028,0.1422842313584239,-0.0734306231179059,0.2281229843044506,3.527416,0.8665545956697478,3.0566985456389992
4,5,2022-02-15,3,0.5907823480654038,0.3942931258106355,0.692972972972973,0.1296800662960942,-0.079820243954633,0.2172561212592304,3.7707696,0.8493997002752143,3.2028905680468895
5,6,2022-03-02,3,0.3057558945045273,0.1124744376278118,0.6366026820930845,-0.0922852033015481,-0.2903692976104272,0.1891478792510508,4.3141017,0.5216192786802064,2.250318616907052
6,7,2022-03-07,3,0.2739130676641742,0.1030042918454935,0.5450716090985678,-0.0055315637875112,-0.3024645257654966,0.3020944266950657,5.421426,0.48500002781380036,2.6293917607904604
7,8,2022-03-17,3,0.2863886686610222,0.1448450347881087,0.5937038858829317,-0.1151455536805895,-0.3013941698352345,0.1544628540887226,6.4403524,0.4993469689601755,3.2159704499753916
8,9,2022-03-22,3,0.3073286456034912,0.1772501380452788,0.5519956557154494,-0.0287091371061723,-0.2287438288535381,0.2177485620377978,6.455727,0.5234279424440149,3.3791079005902733
9,10,2022-03-27,3,0.3182027571083404,0.1506849315068493,0.6216216216216216,-0.0930483119513293,-0.290766674578685,0.2007155635062611,5.671845,0.5359331706745915,3.0397298744248284
10,11,2022-04-11,3,0.3602575479764675,0.2174316179879462,0.5717884130982368,-0.0728943233938358,-0.1848797250859106,0.1126961483594864,7.1499596,0.5842961801729376,4.177694082670825
11,12,2022-04-16,3,0.3858327699811482,0.256198347107438,0.5716046339659847,-0.0639219757150666,-0.181893825927775,0.1174202593760953,6.278408,0.6137076854783204,3.8531072421685706
12,13,2022-05-01,3,0.4631211337508124,0.3507779349363508,0.5811271297509829,0.0631002018621734,-0.0877050840591452,0.3277909738717339,4.4133306,0.7025893038134342,3.100758873752526
13,14,2022-05-11,3,0.4711795997884638,0.3896236012207528,0.5639237563923757,0.051927541903181,-0.0634081902245706,0.197366079373554,5.5266824,0.7118565397567334,3.934205009598439
14,15,2022-05-21,3,0.5062695857969299,0.3620137299771167,0.6406181015452539,0.075856954886018,-0.0508034409998376,0.2366056572379367,7.010074,0.7522100236664694,5.273047929443702
15,16,2022-05-26,3,0.49607725918166,0.3374503749448611,0.6586620926243568,0.0601467262655567,-0.0797526557792928,0.237364043506078,5.5792437,0.740488848058909,4.131367740452926
16,17,2022-06-05,3,0.5069149436352755,0.3206069505628977,0.7221238938053097,0.0498046380681567,-0.111562552903335,0.2749517063747585,7.2012568,0.7529521851805667,5.422202043606416
17,18,2022-06-10,3,0.5197159969191493,0.3318035796236805,0.7533274179236912,0.043798395724392,-0.0954516335682255,0.2680892026311567,6.623547,0.7676733964570217,5.084720822082717
18,19,2022-06-25,3,0.5589783172459046,0.3613360323886639,0.7706808605012198,0.0429628212100091,-0.14338173927558,0.2908649959579628,6.116605,0.8128250648327903,4.971729855681569
19,20,2022-06-30,3,0.5386394265005009,0.3,0.7640636126275813,0.0298044787332934,-0.1346853874154966,0.2645329849771391,5.7948074,0.7894353404755761,4.574625752809387
20,21,2022-07-10,3,0.4763116229581386,0.3085501858736059,0.6615952051636699,0.0184742144497269,-0.1138284481208415,0.2134680134680134,6.8954334,0.7177583664018594,4.94925501281682
21,22,2022-07-20,3,0.4934779763001529,0.3727319854847071,0.6440129449838188,0.0366128544023944,-0.08270412642669,0.2091125467528051,6.871166,0.7374996727451758,5.067482676377779
22,23,2022-07-30,3,0.6025709517641116,0.4551026662580447,0.7279236276849642,0.0979728076474387,-0.0347249317206398,0.2525252525252525,5.492854,0.8629565945287283,4.740094582083504
23,24,2022-08-04,3,0.5689056664480153,0.4055415617128463,0.7031712473572939,0.0921100492635406,-0.0391972405142677,0.2390033835742848,6.124797,0.8242415164152176,5.048311967015375
24,25,2022-08-09,3,0.6359926262988174,0.4370594159113796,0.7723356009070295,0.1089050019506258,-0.0380165289256198,0.2583826429980276,5.827051,0.90139152024364,5.252454359427222
25,26,2022-08-19,3,0.6449617235611305,0.482030804335425,0.7341961174713788,0.1324633480692585,-0.0085153646797482,0.2573566933151897,5.8684616,0.9117059820953,5.350311546416555
26,27,2022-08-19,3,0.6410668652698309,0.481941309255079,0.7257659467604219,0.1309965260291788,-0.0079644378588627,0.2563103506691512,5.8684616,0.9072268950603055,5.324026196148632
27,28,2022-08-24,3,0.6536506490731547,0.4947994056463596,0.7326624371034784,0.1549422400983013,0.0211027910142954,0.2656989071929538,6.1952357,0.9216982464341279,5.710137880936107
28,29,2022-09-13,3,0.7029948982621073,0.6024498886414253,0.7852028639618138,0.2140149744281445,0.0912038913660316,0.3199223575083819,4.9527225,0.9784441330014233,4.845962272509142
29,30,2022-09-23,3,0.6948316697917661,0.58274231678487,0.7865168539325843,0.2087133948046447,0.0862280343277482,0.3330957048654429,4.5191703,0.9690564202605311,4.37933099346571
30,31,2022-10-03,3,0.6721234167245341,0.3226381461675579,0.7822699515687513,0.2103196454254307,0.0720029923321488,0.3420009513239258,4.1034803,0.9429419292332142,3.8693436306524887
31,32,2022-10-13,3,0.6918614133952726,0.5793626707132018,0.7949200376293509,0.1855792435341435,0.0481369587109768,0.3042212518195051,4.6832104,0.9656406254045635,4.522298219557157
32,33,2022-11-27,3,0.7067499154631878,0.5752941176470588,0.8106453132359868,0.2190644732303216,0.074792243767313,0.3326399722655573,3.1606627,0.9827624027826659,3.1061804694375486
33,34,2022-12-27,3,0.5887148008503086,0.4138897539707256,0.7320993667803215,0.1352138280347566,-0.0255419617943764,0.2718168812589413,2.660874,0.8470220209778548,2.253818873047429
34,35,2023-01-06,3,0.5176123914757261,0.3554327808471454,0.6549678695007415,0.052624392901792,-0.1080517313308302,0.192520035618878,2.9338212,0.765254250197085,2.2451191426183126
