,Parcela,mean,min,max
2022-01-01,2,0.7363559488994157,0.5298245614035088,0.7754749568221071
2022-01-06,2,0.6609546252967755,0.4883720930232558,0.7097679163478704
2022-01-16,2,0.6773613382625124,0.5327011913445174,0.7083857970284563
2022-01-31,2,0.6777091120367938,0.516,0.7124802527646129
2022-02-15,2,0.641932115454074,0.4935132330046705,0.6887944768985661
2022-03-02,2,0.6078024412745737,0.5278884462151394,0.6515463917525773
2022-03-17,2,0.5875274979282752,0.49080882352941174,0.625920471281296
2022-03-22,2,0.6014560362169188,0.45817078456870397,0.6510250569476081
2022-03-27,2,0.594465486697096,0.45040101308569014,0.64
2022-04-06,2,0.4445566059097712,0.38194150063586263,0.47756813417190774
2022-04-11,2,0.5509669829460967,0.4150369404606693,0.5932051855163165
2022-04-16,2,0.5276394774242652,0.31572430870821294,0.5820224719101124
2022-05-16,2,0.21799832935823085,0.16076516076516076,0.26661059714045415
2022-05-21,2,0.21988833496216548,0.15062580923608113,0.28376886271623114
2022-05-26,2,0.2366159530910447,0.16166077738515902,0.30390492359932086
2022-06-05,2,0.2764761086744872,0.15898713158987132,0.36962247585601404
2022-06-10,2,0.2938296024059187,0.15811088295687886,0.39009556907037357
2022-06-30,2,0.48102213582369135,0.10815307820299501,0.5935363579863269
2022-07-20,2,0.44812208374285306,0.2193103448275862,0.5647921760391198
2022-07-30,2,0.5915931139525605,0.3354470513633481,0.7079129049389272
2022-08-09,2,0.5932735151670767,0.40427467030468395,0.7237788246962559
2022-08-14,2,0.6326196176350364,0.4434021263289556,0.7187073281747838
2022-08-19,2,0.6436398404431287,0.5126872516050137,0.7334669338677354
2022-08-24,2,0.5868925460724989,0.39148639218422887,0.7150786308973173
2022-09-13,2,0.7101637563518665,0.41967621419676215,0.7927406628090479
2022-09-23,2,0.726979559670969,0.3250620347394541,0.7993920972644377
2022-10-03,2,0.7239621624942281,0.2581547064305685,0.8083774675012037
2022-10-13,2,0.7478315835732867,0.2682926829268293,0.827482447342026
2022-11-27,2,0.7896118892967549,0.4969173859432799,0.8609067173035841
2022-12-22,2,0.7516200831137732,0.5226147243314625,0.8261665141811528
2022-12-27,2,0.7407593344031871,0.4943639291465378,0.8271721214975276
2023-01-06,2,0.6607074438408767,0.4664410603496898,0.7350772889417361
2023-01-16,2,0.7373107386231824,0.5110107284020328,0.8144135657089024
2023-02-15,2,0.6422871668349056,0.45959922430510664,0.7211380202210205
2023-03-02,2,0.6290455853676493,0.4417879417879418,0.7137580794090489
2023-03-12,2,0.1539757313268448,0.11738484398216939,0.21273516642547033
2023-03-17,2,0.16840952006796847,0.14395557454079452,0.279833246482543
2023-03-27,2,0.18286313615736266,0.13879781420765028,0.26332622601279315
2023-05-01,2,0.3362554171222186,0.259825327510917,0.4106280193236715
2023-05-16,2,0.5368115597891786,0.2538955087076077,0.624561403508772
2023-06-05,2,0.6432457113970974,0.44157608695652173,0.7425742574257426
2023-06-15,2,0.5855224379974145,0.43699476937708037,0.6724137931034483
2023-06-20,2,0.5731155625114506,0.3333333333333333,0.6568249893025246
2023-06-25,2,0.6040988801723811,0.29129755080771236,0.7009630005068423
