,Parcela,mean,min,max,Fecha,Valor
0,6,0.7196122686374617,0.6137292290928902,0.7832599118942731,2022-01-01,3.6051686
1,6,0.6654937495514974,0.5596994155301976,0.7563291139240507,2022-01-06,2.7663534
2,6,0.6525327184142311,0.5766345123258306,0.7358689910195457,2022-01-16,2.9147666
3,6,0.5403377872739966,0.4761904761904761,0.6290155440414508,2022-01-31,3.3946407
4,6,0.5973022454171342,0.4898580121703854,0.674217907227616,2022-02-15,3.724121
5,6,0.5772499245805581,0.4743405275779376,0.6631259484066768,2022-03-02,4.216826
6,6,0.5598911120274856,0.4653371320037986,0.6384615384615384,2022-03-17,6.025213
7,6,0.5500321342451165,0.4322295805739514,0.6277056277056277,2022-03-22,5.8426514
8,6,0.5505005552329075,0.4323744096178617,0.6529701807936136,2022-03-27,5.480632
9,6,0.4237206441348819,0.3625282167042889,0.4810810810810811,2022-04-06,7.032402
10,6,0.4919510100229944,0.3849832615973219,0.5777998017839445,2022-04-11,6.4632335
11,6,0.5047253834194299,0.4114737883283877,0.6125705867910631,2022-04-16,5.9641294
12,6,0.2402372560210544,0.0986842105263157,0.4409722222222222,2022-05-16,6.634955
13,6,0.2053990128644827,0.1851851851851851,0.2949450549450549,2022-05-21,6.268201
14,6,0.1859588760669951,0.1442786069651741,0.3108156665468918,2022-05-26,5.0353475
15,6,0.2220943856029304,0.1615839781520255,0.4031413612565445,2022-06-05,6.74893
16,6,0.232594631785935,0.1678097850937357,0.3981900452488687,2022-06-10,6.6018114
17,6,0.3313000814947745,0.2093425605536332,0.4975011358473421,2022-06-30,5.2296433
18,6,0.4466999075162138,0.2808988764044944,0.6070774862721171,2022-07-20,6.577692
19,6,0.5300882522833891,0.3378378378378378,0.6872475476053087,2022-07-30,5.3640223
20,6,0.6167300163968908,0.4163845633039946,0.7822410147991543,2022-08-09,5.821786
21,6,0.6302377539221331,0.4397932816537467,0.7694369973190348,2022-08-14,4.309128
22,6,0.607515455455811,0.4504881450488145,0.7317784256559767,2022-08-24,5.9032273
23,6,0.7046667282829301,0.5629139072847682,0.8044354838709677,2022-09-13,4.602117
24,6,0.7231884460196912,0.5856248298393684,0.8064516129032258,2022-09-23,4.214055
25,6,0.536065532281335,0.4702702702702703,0.594551282051282,2022-10-03,3.6969624
26,6,0.749522791235664,0.5602512849800114,0.8332501248127808,2022-10-13,4.4506645
27,6,0.7942395593406634,0.630648330058939,0.8709187547456341,2022-11-27,2.9512036
28,6,0.7715153653980046,0.6082345601996257,0.8346420323325635,2022-12-22,2.6765351
29,6,0.7681634561872787,0.604355716878403,0.8363765710220535,2022-12-27,2.6593611
30,6,0.6952518853738938,0.5306520890277235,0.7736376339077783,2023-01-06,3.0615165
31,6,0.6907997255356108,0.5378393991912189,0.7630424183325207,2023-01-16,3.1169145
32,6,0.617741847521509,0.5097813578826237,0.6902985074626866,2023-02-15,4.4592023
33,6,0.6067152456890801,0.4885803851321093,0.6852116024726581,2023-03-02,6.0360613
34,6,0.5756730534636596,0.4564270152505447,0.6589147286821705,2023-03-12,4.9784517
35,6,0.621247389797712,0.4941356450790413,0.710267229254571,2023-03-17,5.026175
